Topic,Description,Detail URL,Research Area,Opportunity Timing,Deadline Date,Sponsoring Institution,Location,Duration,Compensation,Citizenship Requirement
Undergraduate Summer Research Experience Program (CEMB),"The CEMB REU program seeks students for a summer research experience in various STEM fields on-campus in Philadelphia or St. Louis.  Students work with research groups, matched based on their interests and experience.",https://researchops.web.illinois.edu/opportunity/undergraduate-summer-research-experience-program-cemb,"Medicine & Health, Natural Sciences, Science & Technology",Summer,2/3/25,University of Pennsylvania and Washington University in St. Louis,Varies,10 Weeks,"$6,500","US Citizen, National, or Permanent Resident required"
Steiner Summer Yiddish Program,The  offers motivated students the opportunity to immerse themselves in Yiddish language and culture. Participants study with renowned scholars and build a community of yidishkayt in a supportive residential setting.,https://researchops.web.illinois.edu/opportunity/steiner-summer-yiddish-program,Humanities & Arts,Summer,2/3/25,Yiddish Book Center,"Amherst, MA",7 weeks,"$1,500",No Citizenship Requirements
Meharry Cancer Summer Undergraduate Research Program (SURP),"The Meharry Cancer SURP is a 10-week intensive, hands-on research experience for undergraduate students. The overall goals of the program are to expose students to different types of cancer research (clinical, biomedical, and community-based) and increase their awareness of cancer health disparities.",https://researchops.web.illinois.edu/opportunity/meharry-cancer-summer-undergraduate-research-program-surp,"Medicine & Health, Natural Sciences",Summer,2/5/25,Meharry Medical College,"Nashville, TN",10 weeks,"$4,000","US Citizen, National, or Permanent Resident required"
Community-Academic Scholars Program,"The Community-Academic Scholars Initiative provides undergraduates from all disciplines with an immersive 10-week community-based summer research experience with guidance from a faculty mentor and community partner. Each scholar will contribute to a research project designed to directly benefit community members addressing critical issues related to health, poverty, and/or social inequality.",https://researchops.web.illinois.edu/opportunity/community-academic-scholars-program,"Education, Humanities & Arts, Medicine & Health, Natural Sciences, Science & Technology, Social Sciences & Behavior",Summer,Anticipated 2/5/25,University of Illinois at Urbana-Champaign,"Urbana, IL",10 weeks,"$4,000",No Citizenship Requirements
WHOI Summer Student Fellowship,"The Woods Hole Oceanographic Institution Summer Student Fellowship provides research opportunities in oceanography, marine biology, and related disciplines. It is a prestigious program where undergraduate students can engage in hands-on research experiences and work alongside leading scientists at the renowned institution.",https://researchops.web.illinois.edu/opportunity/whoi-summer-student-fellowship,"Natural Sciences, Science & Technology",Summer,Anticipated 2/4/25,Woods Hole Oceanographic Institution (WHOI),"Woods Hole, MA",10 weeks,"$6,800","US Citizen, National, or Permanent Resident required"
Cancer Research Summer Internship Program,"As part of its Cancer Biology Training Program, the University of Michigan Rogel Cancer Center provides exposure to cancer research for highly motivated and talented college undergraduates. This program gives successful applicants an opportunity to explore potential careers in the field of cancer research.  Interns work directly in a cancer laboratory setting. Program mentors give presentations on their work in cancer every other week at an informal luncheon that interns are required to attend. At the end of the internship program, each intern will be asked to give a short presentation on their work.",https://researchops.web.illinois.edu/opportunity/cancer-research-summer-internship-program,Medicine & Health,Summer,Anticipated 2/4/25,University of Michigan,"Ann Arbor, MI",10 weeks,"$5,500","US Citizen, National, or Permanent Resident required"
Chicago Cancer Health Equity Collaborative (ChicagoCHEC Fellowship),"The ChicagoCHEC Fellows program consists of a paid full-time summer research and enrichment experience in Chicago. Afterward, students will have the option to be placed in a research team during the academic year for course credit (e.g., independent study) or service learning credit. Research team placement is not guaranteed and is dependent on project availability. All Fellows will have access to ongoing career advancement activities and must participate in periodic performance monitoring of career progression.",https://researchops.web.illinois.edu/opportunity/chicago-cancer-health-equity-collaborative-chicagochec-fellowship,Medicine & Health,Summer,2/5/25,Various,"Chicago, IL",8 weeks,"$4,800","US Citizen, National, or Permanent Resident required"
The Rutgers English Diversity Institute (REDI),"REDI is a one-week program designed to encourage current students and recent graduates from diverse cultural, economic, and ethnic backgrounds to consider graduate study in English-language literature. REDI alums have an amazing track record in gaining admission to prestigious English PhD programs.",https://researchops.web.illinois.edu/opportunity/rutgers-english-diversity-institute-redi,Humanities & Arts,Summer,Anticipated 2/8/25,Rutgers School of Arts and Sciences,"New Brunswick, NJ",1 week,$750,No Citizenship Requirements
Plant Biology and Conservation (PBC) REU: Genes to Ecosystems,"Explore the Chicago Botanic Garden's immersive summer REU internship with a focus on plant biology and conservation. Foster diversity in biological sciences and gain hands-on experience through workshops, field trips, and mentorship.",https://researchops.web.illinois.edu/opportunity/plant-biology-and-conservation-pbc-reu-genes-ecosystems,Natural Sciences,Summer,Anticipated 2/8/25,Chicago Botanical Garden,"Chicago, IL",10 weeks,"$7,000","US Citizen, National, or Permanent Resident required"
Undergraduate Research Internships in Seismology Program,"As a URISE intern, you'll engage in an 8 to 10-week seismological research project, working on field deployments or lab analyses. The program emphasizes scientific inquiry, skill development, and finalizes with national presentations.",https://researchops.web.illinois.edu/opportunity/undergraduate-research-internships-seismology-program,"Natural Sciences, Science & Technology",Summer,Anticipated 2/9/25,EarthScope Consortium,Various,10 weeks,"$6,000","US Citizen, National, or Permanent Resident required"
Great Lakes Bioenergy Research Center (GLBRC) Summer Undergraduate Research Program,"Students will learn the process of research: reading literature, formulating questions and hypotheses, designing a study, collecting and analyzing data, and presenting your results as a research poster and presentation. Disciplines include biochemistry, plant biology, genetics, microbiology, ecology, and crop sciences.",https://researchops.web.illinois.edu/opportunity/great-lakes-bioenergy-research-center-glbrc-summer-undergraduate-research-program,"Medicine & Health, Natural Sciences",Summer,2/7/25,Michigan State University,"East Lansing, MI",10 weeks,"$6,500","US Citizen, National, or Permanent Resident required"
Cornell NanoScale Science and Technology Facility (CNF) REU,"CNF REU offers interns hands-on experience with nanofabrication, collaboration with academia and industry researchers, training on diverse nanofab tools, and the chance to become independent nanoscale researchers.",https://researchops.web.illinois.edu/opportunity/cornell-nanoscale-science-and-technology-facility-cnf-reu,"Natural Sciences, Science & Technology",Summer,2/6/25,Cornell University,"Ithaca, NY",10 weeks,"$6,000","US Citizen, National, or Permanent Resident required"
SMALL Mathematics & Statistics REU,The SMALL Undergraduate Research Project is a nine-week residential summer program in which undergraduates investigate open research problems in mathematics.,https://researchops.web.illinois.edu/opportunity/small-mathematics-statistics-reu,Science & Technology,Summer,Anticipated 2/9/25,Williams College,"Williamstown, MA",9 weeks,"$4,000",No Citizenship Requirements
Marine Science REU at the Shannon Point Marine Center,"Students will spend nine weeks conducting original research alongside faculty advisers. Students engage in professional development, outreach events, and produce written and oral reports on projects covering topics like estuarine dynamics, biogeochemistry, and ocean acidification, all while enjoying access to the Pacific Northwest's diverse marine and coastal environments.",https://researchops.web.illinois.edu/opportunity/marine-science-reu-shannon-point-marine-center,Natural Sciences,Summer,2/10/25,Western Washington University,"Anacortes, WA",9 weeks,"$6,300","US Citizen, National, or Permanent Resident required"
University of Missouri Materials Science & Engineering Program,"This REU Site trains researchers to think creatively from an early stage. The projects focus on understanding and predicting relationships for micro- and nano-structured materials across a wide spectrum of applications, including sensors, batteries, reactors, and implantable devices. Students in this program learn cutting-edge materials research approaches that include atomistic simulation, coarse-grain modeling, and a suite of materials design / fabrication / characterization techniques.",https://researchops.web.illinois.edu/opportunity/university-missouri-materials-science-engineering-program,"Medicine & Health, Science & Technology",Summer,Anticipated 2/10/25,University of Missouri,"Columbia, MO",9 weeks,"$5,000","US Citizen, National, or Permanent Resident required"
University of Maryland Summer Research Initiative (SRI),"SRI offers rising juniors/seniors from underrepresented groups with an 8-week intensive experience to develop research skills and learn about doctoral training in social, behavioral & economic sciences. Students will receive lab experience, attend workshops, and enhance their knowledge of the graduate application process.",https://researchops.web.illinois.edu/opportunity/university-maryland-summer-research-initiative-sri,"Humanities & Arts, Social Sciences & Behavior",Summer,2/10/25,University of Maryland,"College Park, MD",8 weeks,"$3,000",No Citizenship Requirements
Injury and Violence Prevention REU (INSIGHT),"This 8-week internship allows students to research trauma intervention, violence prevention, injury care, and more alongside the University of Washington faculty.",https://researchops.web.illinois.edu/opportunity/injury-and-violence-prevention-reu-insight,"Medicine & Health, Social Sciences & Behavior",Summer,Anticipated 2/9/25,University of Washington,"Seattle, WA",8 weeks,"$3,200",No Citizenship Requirements
Shannon Point Marine Center REU,"Dive into marine research at Shannon Point Marine Center! Explore topics like ocean acidification, marine ecology, and environmental toxicology. Engage with the environment and showcase your findings with written and oral reports.",https://researchops.web.illinois.edu/opportunity/shannon-point-marine-center-reu,Natural Sciences,Summer,2/10/25,Western Washington University,"Anacortes, WA",9 weeks,"$6,300","US Citizen, National, or Permanent Resident required"
Summer Research Opportunities Program (SROP),The goal of the program is to increase the number of underrepresented students who pursue graduate study and research careers. SROP helps prepare undergraduates for graduate study through intensive research experiences with faculty mentors and enrichment activities.,https://researchops.web.illinois.edu/opportunity/summer-research-opportunities-program-srop,"Education, Humanities & Arts, Medicine & Health, Natural Sciences, Science & Technology, Social Sciences & Behavior",Summer,2/10/25,Various,Varies,10 weeks,"$4,000","US Citizen, National, or Permanent Resident required"
Arctic REU Greenland,"This NSF-REU provides a summer opportunity in geologic mapping, structural geology, and earthquake geodynamics. Students will conduct fieldwork in Greenland, analyzing Precambrian rocks to better understand how earthquake ruptures propagate through bedrock in the deeper reaches of Earth's crust.",https://researchops.web.illinois.edu/opportunity/arctic-reu-greenland,Natural Sciences,Summer,Anticipated 2/11/25,Concord University and Montana State University,Greenland,10 weeks,"$5,800","US Citizen, National, or Permanent Resident required"
The Pocono Lake Ecological Observatory Network (PLEON) Research Internships,"PLEON offers students working toward a degree in natural sciences, aquatic ecology, conservation, and management an opportunity to conduct aquatic fieldwork in Lake Wallenpaupack, PA. Interns will gain experience in lake ecology and water quality sampling methodology, quantitative laboratory analysis, and science communication and networking.",https://researchops.web.illinois.edu/opportunity/pocono-lake-ecological-observatory-network-pleon-research-internships,Natural Sciences,Summer,Anticipated 2/11/25,Lacawac Sanctuary Field Station,"Lake Wallenpaupack, PA",10 weeks,,"US Citizen, National, or Permanent Resident required"
Michigan Humanities Emerging Research Scholars Program (MICHHERS),"This opportunity is designed for rising seniors, from diverse cultural, economic, geographic, and ethnic backgrounds to consider pursuing a doctoral degree in the humanities. Students will learn the latest methodologies and developments in their field, develop a research project, and will receive practical instruction on applying to graduate school.",https://researchops.web.illinois.edu/opportunity/michigan-humanities-emerging-research-scholars-program-michhers,Humanities & Arts,Summer,2/10/25,University of Michigan,"Ann Arbor, MI",2 weeks,"$1,000",No Citizenship Requirements
Data Analytics for Science Immersion Experience (DASIE),"DASIE, in partnership with Dow, PPG Paints, Accenture, and Posit, addresses the growing need for data-savvy scientists while promoting diversity in STEM. Targeting underrepresented students, the program offers immersive experiences in data analytics, networking with industry leaders, and mentorship opportunities. Students undergo classroom learning at Carnegie Mellon University followed by hands-on training at the Global Dow Center in Michigan, fostering a unique blend of education and industry exposure. DASIE equips participants with cutting-edge skills, industry insights, and valuable connections to thrive in STEAM fields.",https://researchops.web.illinois.edu/opportunity/data-analytics-science-immersion-experience-dasie,"Data Science, Science & Technology, Social Sciences & Behavior",Summer,2/14/25,Carnegie Mellon University,"Pittsburgh, PA",2 weeks,$750,No Citizenship Requirements
SHyNE REU Program,SHyNE Resource has developed a unique REU program providing facilities‐focused research projects for four undergraduate students. Research projects are developed in close collaboration between SHyNE facility staff and Northwestern faculty. This combination of a traditional REU research experience with the hands‐on instrumentation focus provides an opportunity for students to learn new skills and enrich their experience.,https://researchops.web.illinois.edu/opportunity/shyne-reu-program,Science & Technology,Summer,Anticipated 2/13/25,"SHyNE Resource, NUANCE Center, and Northwestern University","Evanston, IL",9 weeks,"$5,750","US Citizen, National, or Permanent Resident required"
Pritzker School of Molecular Engineering REU,"This summer research program welcomes students to engage in mentored scientific research with guidance from researchers, offering training in science communication, lab safety, and ethics, as well as resources for graduate school applications and report writing. Students work 40 hours a week on a research project tailored to their interests.",https://researchops.web.illinois.edu/opportunity/pritzker-school-molecular-engineering-reu,"Medicine & Health, Natural Sciences, Science & Technology",Summer,2/13/25,University of Chicago,"Chicago, IL",10 weeks,"$7,000","US Citizen, National, or Permanent Resident required"
Summer Research Internship in Medical Sciences,"Through this nine-week program, participants will work on their own research projects under the guidance of an MU School of Medicine faculty member and present results at a poster forum at the end of the session. Participants will learn how to write abstracts and design posters to prepare for the poster forum.",https://researchops.web.illinois.edu/opportunity/summer-research-internship-medical-sciences,Medicine & Health,Summer,2/14/25,University of Missouri,"Columbia, MO",9 weeks,"$4,000","US Citizen, National, or Permanent Resident required"
FBRI Molecular Visualization SURF Program,The FBRI Molecular Visualization SURF program is a 10-week long summer program that gives students the opportunity to participate in research using imaging technologies to understand appropriate application of each technology in understanding biological processes.,https://researchops.web.illinois.edu/opportunity/fbri-molecular-visualization-surf-program,Medicine & Health,Summer,2/14/25,Virginia Tech,"Roanoke, VA",10 weeks,"$6,000","US Citizen, National, or Permanent Resident required"
Summer Geometry Initiative,"The  (SGI) is a six-week paid summer research program introducing undergraduate and graduate students to the field of geometry processing.  Geometry processing has a long history of breakthrough developments that have guided design of 3D tools for computer vision, additive manufacturing, scientific computing, and other disciplines.  Algorithms for geometry processing combine ideas from disciplines including differential geometry, topology, physical simulation, statistics, and optimization.",https://researchops.web.illinois.edu/opportunity/summer-geometry-initiative,Science & Technology,Summer,Anticipated 2/14/25,Massachusetts Institute of Technology,"Cambridge, MA",6 weeks,"$4,000",No Citizenship Requirements
Robert F. Smith Internship Program at the National Museum of African American History & Culture,"Internships provide guided learning experiences consisting of hands-on training, mentoring, attendance at educational events, and cultivation of contacts for the next generation of researchers, scholars, curators, and other museum, library, preservation, and heritage professionals – individuals who will assume the mantle of identifying, documenting, curating, and digitizing treasured artifacts that reflect African American history and culture.",https://researchops.web.illinois.edu/opportunity/robert-f-smith-internship-program-national-museum-african-american-history-culture,"Humanities & Arts, Social Sciences & Behavior",Summer,Anticipated 2/14/25,Smithsonian Institute,Various,12 weeks,"$10,200",No Citizenship Requirements
"Synthesis, Assembly, and Characterization of Soft Matter REU","Cleveland State University's REU calls for undergraduates interested in physics and engineering for a 10-week interdisciplinary soft matter research, fostering STEM pathways with mentoring and networking.",https://researchops.web.illinois.edu/opportunity/synthesis-assembly-and-characterization-soft-matter-reu,"Medicine & Health, Science & Technology",Summer,Anticipated 2/14/25,Cleveland State University,"Cleveland, OH",10 weeks,"$6,000","US Citizen, National, or Permanent Resident required"
Life Sciences Summer Undergraduate Research Program (LSSURP),"The LSSURP at the University of Minnesota aims to boost underrepresented students in life sciences. It offers a 10-week research program, mentorship, and activities fostering professional growth, culminating in a poster symposium.",https://researchops.web.illinois.edu/opportunity/life-sciences-summer-undergraduate-research-program-lssurp,Medicine & Health,Summer,Anticipated 2/15/25,University of Minnesota,"Minneapolis, MN",10 weeks,"$4,000",No Citizenship Requirements
Data Analytics for Science Immersion Experience (DASIE),"DASIE, in partnership with Dow, PPG Paints, Accenture, and Posit, addresses the growing need for data-savvy scientists while promoting diversity in STEM. Targeting underrepresented students, the program offers immersive experiences in data analytics, networking with industry leaders, and mentorship opportunities. Students undergo classroom learning at Carnegie Mellon University followed by hands-on training at the Global Dow Center in Michigan, fostering a unique blend of education and industry exposure. DASIE equips participants with cutting-edge skills, industry insights, and valuable connections to thrive in STEAM fields.",https://researchops.web.illinois.edu/opportunity/data-analytics-science-immersion-experience-dasie,"Data Science, Science & Technology, Social Sciences & Behavior",Summer,2/14/25,Carnegie Mellon University,"Pittsburgh, PA",2 weeks,$750,No Citizenship Requirements
Distributed Research Experiences for Undergraduates (DREU),"Explore computing research with DREU, a selective program offering summer research, mentorship, and insights into graduate studies for undergraduates.",https://researchops.web.illinois.edu/opportunity/distributed-research-experiences-undergraduates-dreu,Science & Technology,Summer,Anticipated 2/15/25,Computing Research Association,Various,10 weeks,"$7,000",No Citizenship Requirements
Amgen Scholars Program at NIH,"Amgen Scholars at NIH spend the summer working side-by-side with some of the world's leading scientists, in an environment devoted exclusively to biomedical research.",https://researchops.web.illinois.edu/opportunity/amgen-scholars-program-nih,Medicine & Health,Summer,Anticipated 2/15/25,National Institutes of Health (NIH),"Bethesda, MD",8 weeks,,"US Citizen, National, or Permanent Resident required"
Archaeology Field School in Peru,"This 3-credit course for Illinois students is an archaeological field school where students have the opportunity to engage in original research at the archaeological site of Cerro Blanco, a Chancay Administrative Center located in central Peru.",https://researchops.web.illinois.edu/opportunity/archaeology-field-school-peru,"Natural Sciences, Social Sciences & Behavior",Summer,2/15/25,University of Illinois at Urbana-Champaign,"Urbana, IL",4 weeks,Course Credit,No Citizenship Requirements
Summer Undergraduate Research Experience in Toxicology (SURE Tox) program,"The SURETox program aims to match participants with mentors, enhance research skills, offer didactic training, prepare students for presentations, provide networking opportunities, and share information about careers in toxicology.",https://researchops.web.illinois.edu/opportunity/summer-undergraduate-research-experience-toxicology-sure-tox-program,Medicine & Health,Summer,2/15/25,University of Illinois Urbana-Champaign,"Champaign, IL",10 weeks,"$4,000","US Citizen, National, or Permanent Resident required"
Cellular and Molecular Biology of Stress Summer Research Program,"The  provides immersive, full-time bioscience research and professional development for undergraduate students as they prepare for graduate school and research careers in biology.",https://researchops.web.illinois.edu/opportunity/cellular-and-molecular-biology-stress-summer-research-program,"Medicine & Health, Natural Sciences",Summer,2/15/25,University of Wisconsin-Madison,"Madison, WI",10 weeks,"$7,000","US Citizen, National, or Permanent Resident required"
Microbial Biofilms REU,"The goal of this REU is to provide talented and motivated students with a well-mentored, collaborative research experience on microbial biofilms that has the potential to impact their career trajectory and future academic successes.",https://researchops.web.illinois.edu/opportunity/microbial-biofilms-reu,"Natural Sciences, Science & Technology",Summer,2/16/25,Binghamton University,"Binghamton, NY",10 weeks,"$7,000","US Citizen, National, or Permanent Resident required"
Psychology Research Experience Program (PREP),"PREP provides experience in scientific research to undergraduates from historically underrepresented populations who have an interest in a career in scientific psychology. The program features mentored laboratory research, intensive “bootcamps” on technical skills (e.g., R and Python programming), and faculty presentations.",https://researchops.web.illinois.edu/opportunity/psychology-research-experience-program-prep,"Natural Sciences, Science & Technology, Social Sciences & Behavior",Summer,2/15/25,University of Wisconsin-Madison,"Madison, WI",10 weeks,"$6,700","US Citizen, National, or Permanent Resident required"
Pediatric Student Research Program (PSRP),"The  was created with the purpose of introducing research to young investigators and to further their existing interest in research. The program includes seminars, mentored research and clinical shadowing experiences during the eight-week scenario, June through July. Selected participants work alongside experienced researchers. Opportunities range from bench to clinical to community-based research.",https://researchops.web.illinois.edu/opportunity/pediatric-student-research-program-psrp,Medicine & Health,Summer,2/15/25,Washington University in St. Louis,"St. Louis, MO",8 weeks,"$4,500",No Citizenship Requirements
Ellis Fischel Cancer Center Summer Research Program,"Students in the  will participate in a fully loaded and exciting series of events including professional development seminars, key-note speakers, professional headshots, networking receptions, and immersive experiences.",https://researchops.web.illinois.edu/opportunity/ellis-fischel-cancer-center-summer-research-program,Medicine & Health,Summer,2/16/25,University of Missouri,"Columbia, MO",9 weeks,"$5,400","US Citizen, National, or Permanent Resident required"
Biological Interactions Summer Research Program,Through this 10-week summer research program students will contribute to research examining the contributions of genetics and the environment on an organisms phenotype. There are a wide range of projects under this umbrella from botany and entomomlogy to medical genetics and biomolecular chemistry.,https://researchops.web.illinois.edu/opportunity/biological-interactions-summer-research-program,Natural Sciences,Summer,2/15/25,University of Wisconsin-Madison,"Madison, WI",10 weeks,"$7,000","US Citizen, National, or Permanent Resident required"
Translational Biomedicine Summer Research Program,"This training program seeks to recruit highly motivated and creative young scientists who are interested in developing innovative solutions to difficult problems in biology and medicine. The purpose of this 9-week, full-time summer research program is to provide undergraduates with an intensive research experience that emphasizes interdisciplinary and translational approaches across the bench-to-bedside continuum.",https://researchops.web.illinois.edu/opportunity/translational-biomedicine-summer-research-program,"Medicine & Health, Natural Sciences",Summer,2/16/25,University of Missouri,"Columbia, MO",9 weeks,"$5,400","US Citizen, National, or Permanent Resident required"
MU Alcohol Research Training Summer School & Internship (MU-ARTSS),The MU-ARTSS program is a week-long didactic program providing an intensive introduction to alcohol research followed by an 8-week research internship in the lab of a MU-ARTSS professor.,https://researchops.web.illinois.edu/opportunity/mu-alcohol-research-training-summer-school-internship-mu-artss,Medicine & Health,Summer,2/17/25,University of Missouri,"Columbia, MO",8 weeks,"$4,800",No Citizenship Requirements
Research and Education for the Advancement of Compassionate Healthcare (REACH) Program,"The REACH program is a summer clinical research immersion for healthcare-focused undergraduates. It includes research exposure, medical school preparation, and a mentorship-based cohort to foster peer relationships.",https://researchops.web.illinois.edu/opportunity/research-and-education-advancement-compassionate-healthcare-reach-program,Medicine & Health,Summer,2/17/25,University of Illinois Urbana-Champaign,"Champaign, IL",8 weeks,"$5,000","US Citizen, National, or Permanent Resident required"
NHERI REU Summer Program,"The NHERI REU program is dedicated to helping undergraduate college students experience multi-hazard engineering as well as reconnaissance, cyberinfrastructure, data management, and simulation research. Hands-on, research-based projects introduce participants to a network of engineers, and students who work toward mitigating natural hazards and understanding the impact of natural hazards on society.",https://researchops.web.illinois.edu/opportunity/nheri-reu-summer-program,Science & Technology,Summer,2/16/25,National Hazards Engineering Research Infrastructure,Varies,10 weeks,"$6,000","US Citizen, National, or Permanent Resident required"
DOE Scholars Program,"Participants in the  will have the unique opportunity to explore a career in the federal government with the DOE. The program covers a wide range of fields including: Energy Sources and Security, Clean Energy, Energy Efficiency, Climate Change, Environmental Management, Nuclear Security, Artificial Intelligence, Emergency Response, Management and Operations, Cyber Security, and Safeguards and Security.",https://researchops.web.illinois.edu/opportunity/doe-scholars-program,"Natural Sciences, Science & Technology",Summer,2/16/25,US Department of Energy,Varies,10 weeks,"$7,000","US Citizen, National, or Permanent Resident required"
Summer Undergraduate Research Fellowship (SURF) at Caltech,"Summer Undergraduate Research Fellowships (SURF) at Caltech – SURF offers students the opportunity to conduct a 10-week summer research project under the guidance of experienced mentors with a stipend award. Students will collaborate with a potential mentor to define and develop a project, submit a technical paper, and give an oral presentation at one of several SURF Seminar Days.",https://researchops.web.illinois.edu/opportunity/summer-undergraduate-research-fellowship-surf-caltech,Social Sciences & Behavior,Summer,2/22/25,Caltech,"Pasadena, CA",10 weeks,"$7,950",No Citizenship Requirements
Entry Point! Program for Students with Disabilities,"Entry Point! is the signature program of the AAAS Project on Science, Technology, and Disability. Entry Point! provides a wide, national recruitment and screening effort to discover outstanding students with disabilities.",https://researchops.web.illinois.edu/opportunity/entry-point-program-students-disabilities,"Medicine & Health, Natural Sciences, Science & Technology",Summer,Anticipated 2/18/25,American Association for the Advancement in Science,,10 weeks,,No Citizenship Requirements
National Institute of Neurological Disorders and Stroke (NINDS) Summer Internship Programs,"NINDS offers students the opportunity to receive mentoring from leading neuroscience investigators, conduct individual cutting-edge research projects, and learn about the use of information technology in biomedical research. Students will present their research to the scientific community at NIH's Annual Research Poster Day for Summer students.",https://researchops.web.illinois.edu/opportunity/national-institute-neurological-disorders-and-stroke-ninds-summer-internship-programs,Medicine & Health,Summer,2/19/25,National Institutes of Health,"Bethesda, MD",10 Weeks,,"US Citizen, National, or Permanent Resident required"
Old Sturbridge Village Internship,"Explore Museum careers at Old Sturbridge Village, New England's largest outdoor History Museum. Gain hands-on experience through internships and practical knowledge.",https://researchops.web.illinois.edu/opportunity/old-sturbridge-village-internship,"Agriculture & Food Sciences, Education, Humanities & Arts, Natural Sciences, Social Sciences & Behavior",Summer,Anticipated 2/22/25,Old Sturbridge Village,"Sturbridge, MA",10 weeks,"$2,000",No Citizenship Requirements
Environmental Health Sciences REU,"This 9-week REU explores the intersection of environment and health in a rigorous internship offering seminars, workshops, networking, and research opportunities.",https://researchops.web.illinois.edu/opportunity/environmental-health-sciences-reu,"Medicine & Health, Natural Sciences, Science & Technology",Summer,2/23/25,"University of California, Berkeley","Berkeley, CA",9 weeks,"$6,500",No Citizenship Requirements
Institute for Systems Biology REU,"The ISB Summer Undergraduate Research Experiences Program offers undergraduates with a diversity of backgrounds, career goals and experiences the opportunity to experience research side by side with experts in systems biology.",https://researchops.web.illinois.edu/opportunity/institute-systems-biology-reu,Science & Technology,Summer,Anticipated 2/25/25,Institute for Systems Biology,"Seattle, WA",10 weeks,"$6,250",No Citizenship Requirements
Center for Power Optimization of Electro-Thermal Systems (POETS) Research Experience for Undergraduates,"POETS REU participants work on their projects under the guidance of a mentor, participate in bi-weekly research seminars, professional development workshops, and a variety of social activities. Students will present their research at a cohort meeting and symposium.",https://researchops.web.illinois.edu/opportunity/center-power-optimization-electro-thermal-systems-poets-research-experience,Science & Technology,Summer,Anticipated 2/24/25,University of Illinois at Urbana-Champaign,Various,10 weeks,"$6,000","US Citizen, National, or Permanent Resident required"
REU Program in the Structure and Function of Proteins,"This REU Program offers a 10-week research experience in biochemistry, biophysics, and related fields. Undergraduates explore diverse projects centered on protein, RNA, and DNA structure and function.",https://researchops.web.illinois.edu/opportunity/reu-program-structure-and-function-proteins,"Medicine & Health, Natural Sciences",Summer,Anticipated 2/23/25,University of Michigan,"Ann Arbor, MI",10 weeks,"$7,000","US Citizen, National, or Permanent Resident required"
Environmental Engineering: Measurements and Modeling in the Pacific Northwest,"This REU offers undergraduates in engineering and environmental science hands-on research experience, collaborating with faculty on projects and participating in workshops. Students conclude their experience with a poster symposium and national conference.",https://researchops.web.illinois.edu/opportunity/environmental-engineering-measurements-and-modeling-pacific-northwest,"Natural Sciences, Science & Technology",Summer,Anticipated 2/24/25,Washington State University,"Pullman, WA",9.5 weeks,"$5,700","US Citizen, National, or Permanent Resident required"
Inter-University Consortium for Political and Social Research Summer Program,"This program provides rigorous, hands-on training in statistical techniques, research methodologies, and data analysis to students. The program also emphasizes the integration of methodological strategies with the theoretical and practical concerns that arise in research on substantive issues.",https://researchops.web.illinois.edu/opportunity/inter-university-consortium-political-and-social-research-summer-program,Social Sciences & Behavior,Summer,Anticipated 2/25/25,The University of Michigan Institute for Social Research,"Ann Arbor, MI",Varies,,No Citizenship Requirements
Summer in Biomedical Science (SIBS) Undergraduate Research Program at the University of Alabama Birmingham,"SIBS provides a hands-on 8-week summer opportunity for undergraduates interested in biology and biomedical science to participate in research projects guided by faculty members. Students will receive a stipend of $3,200 for their participation in the program.",https://researchops.web.illinois.edu/opportunity/summer-biomedical-science-sibs-undergraduate-research-program-university-alabama,Medicine & Health,Summer,Anticipated 2/27/25,University of Alabama Birmingham,"Birmingham, AL",8 weeks,"$3,200","US Citizen, National, or Permanent Resident required"
Smithsonian National Air and Space Museum Summer Internship Program,"The Smithsonian Air and Space Museum's Summer Internship Program offers 10-week positions in various fields including aviation, space history, exhibits, communications, and education. Students from all disciplines are welcome to apply. Interns are assigned supervisors, work on projects, and engage in virtual group activities, presentations, and professional development opportunities.",https://researchops.web.illinois.edu/opportunity/smithsonian-national-air-and-space-museum-summer-internship-program,"Education, Humanities & Arts, Science & Technology, Social Sciences & Behavior",Summer,Anticipated 2/28/25,National Air and Space Museum,"Washington, DC",10 weeks,"$7,000",No Citizenship Requirements
Simmons Cancer Institute Summer Internship,The  program provides hands-on experience for college undergraduates who plan a career in medicine or research with a focus on cancer.,https://researchops.web.illinois.edu/opportunity/simmons-cancer-institute-summer-internship,Medicine & Health,Summer,Anticipated 2/25/25,Southern Illinois University,"Carbondale, IL",9 weeks,,No Citizenship Requirements
Summer Enrichment Program at the University of Michigan,"UMSEP provides juniors and seniors from underrepresented groups an 8-week summer pre-professional internship in a health care or public health organization to learn more about health disparities, the health care system, and public health. Students are paired with mentors to complete a research project and will attend meetings, lectures, and present research findings.",https://researchops.web.illinois.edu/opportunity/summer-enrichment-program-university-michigan,Medicine & Health,Summer,Anticipated 2/27/25,University of Michigan,"Ann Arbor, MI",6 weeks,"$3,000","US Citizen, National, or Permanent Resident required"
