,Description,Research Area,Opportunity Timing,Deadline Date
210,"Discovery Hall Environmental Education Internship in Marine Science (DHP)DHP offers a 10 week summer internship position for an undergraduate (sophomore, junior, senior) currently under-represented in marine science and environmental education. Interns will assist DHP education staff with all aspects of logistics, preparation, and teaching within summer programs for K-12, to high school students studying marine science, and to the public. Interns will gain hands-on experience in the field of environmental education and learn about the Gulf of Mexico ecosystems.",Natural Sciences,Summer,Anticipated 3/18/25
211,"Statistical Models with Applications to Geoscience (SMAG) REUJoin this dynamic 8-week statistical models in geoscience program to enhance skills, foster diversity, and prepare for statistical careers with workshops and seminars!",Science & Technology,Summer,Anticipated 3/30/25
212,"REU on Sustainable Land and Water ResourcesStudents gain interdisciplinary research experience focused on community-based participatory research to improve management practices for land and water resources. Participants collaborate with tribal resource managers on projects hosted at Native American reservations or the University of Minnesota, emphasizing quantitative methods, indigenous research approaches, and inclusion of diverse backgrounds.","Natural Sciences, Science & Technology, Social Sciences & Behavior",Summer,3/30/25
213,"African American Family (AAFam) Stress and Resiliency Lab The African American Family Stress and Resiliency Lab is looking for undergraduate research assistants interested in understanding the connections between race-related stress, mental health, and social support within African American families. Students will have the opportunity to gain experience with multiple research-related activities including, but not limited to, literature reviews, participant recruitment, data management, data analysis, and writing.","Medicine & Health, Social Sciences & Behavior",Summer,Anticipated 4/1/25
214,"Internships at Illinois Holocaust Museum & Education CenterInterns will work with the exhibition, preservation, and interpretation of Museum collections, assist with educational programs and fundraisers, and take part in marketing and day-to-day operations. This opportunity covers disciplines from Marketing, Business, Communications, and Education to Computer Science/Engineering.","Humanities & Arts, Social Sciences & Behavior","Fall, Spring, Summer, Winter",4/1/25
215,"Advancing Army Modernization Priorities – Undergraduate ProgramThis summer research program provides an immersive, experiential environment for undergraduates to collaborate with energetic materials experts on projects that range in focus from synthesis to machine learning to additive manufacturing.","Natural Sciences, Science & Technology",Summer,4/15/25
216,"Bioprocessing Summer Undergraduate Internship Training and Education (BSUITE)BSUITE offers a 6-week intensive internship in bioprocessing and bioengineering research at the Keck Graduate Institute in Claremont, CA. Students will be introduced to career options within biomanufacturing and learn about technical/regulatory considerations for the production of biopharmaceuticals, such as cell line engineering, cell growth, product purification, viral controls, and quality systems.","Medicine & Health, Natural Sciences, Science & Technology",Summer,5/15/25
217,"Naval Research Enterprise Intern Program (NREIP)NREIP offers 10-week summer internships for STEM students, providing top-notch mentoring, and hands-on Navy lab experience.","Medicine & Health, Natural Sciences, Science & Technology, Social Sciences & Behavior",Summer,Anticipated 11/1/25
218,"Junior Fellows Summer Intern ProgramThrough this summer internship, fellows are exposed to a broad spectrum of library work: copyright, preservation, reference, access, and information technology.  Working under the direction of Library curators and specialists in various divisions, fellows explore digital initiatives and increase access to the institution’s unparalleled collections and resources.",Humanities & Arts,Summer,Anticipated 11/26/25
219,"Research Internships in Science and EngineeringStudents are matched with a host university or institute according to their area of interest (biology, chemistry, physics, earth sciences, engineering, or a closely related field). Host universities, universities of applied sciences, and institutes provide housing assistance and match students with Ph.D. student mentors or researchers.","Medicine & Health, Natural Sciences, Science & Technology",Summer,Anticipated 11/30/25
220,"Congressional Hispanic Caucus Insititute (CHCI)CIP provides Latino undergraduates of all majors with paid placement in congressional offices for a period of 10 weeks. Interns will learn how the legislative system works, respond to constituent inquiries, write policy briefs, gain work experience, and participate in community service.",Social Sciences & Behavior,"Fall, Summer",Anticipated 12/1/25
221,"Molecular Biology and Genetics of Cell Signaling REUThe Summer Research Experience for Undergraduates (REU) Program (MBG-REU), titled “Molecular Biology and Genetics of Cell Signaling”, aims to provide cutting edge summer research training experiences in the broadly defined area of cell signaling.",Medicine & Health,Summer,Anticipated 1/31/26
222,Northwestern University Minority Health and Health Disparities Research Training Program (NU-MHRT) The T37 Northwestern University Minority Health and Health Disparities Research Training Program (NU-MHRT) provides health disparities research training experiences to minority and other underrepresented students and trainees at the undergraduate through postdoctoral levels in order to prepare and enhance the next generation of health sciences researchers committed to improving minority health and reducing health disparities.,Medicine & Health,Summer,Rolling
223,"MEMOs Internship SchemeThe MEMOs Internship Scheme is a digital placement aimed at undergraduate students of relevant disciplines (English, History, etc). The scheme is designed to offer insight and experience in a major digital humanities project and provide academic guidance and mentorship for students interested in specialising in medieval and/or early modern studies. Placements are run four times a year in spring, summer, autumn and winter. Each placement runs for a period of eight weeks with an expected time commitment of six hours a week.",Humanities & Arts,"Fall, Spring, Summer, Winter",Rolling
224,"Illinois Computer Science Summer Research Program (SRP)In the Illinois Computer Science Summer Research Program (SRP), students work with Illinois faculty mentors and graduate students over the summer to get an introduction to computer science research. This is an outstanding opportunity for aspiring scientists and faculty to learn from leading experts in computer science.",Science & Technology,Spring,Rolling
